Database,Source,Selfloops,OneDirection,MaximiseEdges,StrictFilter,GeneCount,InputGeneCoverage,EdgeCount,Genes,JsonIndex
Pathways,Mouse,false,true,false,true,57,5,102,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",0
Combo,Mouse,false,true,false,true,84,6,175,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",1
PPI,Mouse,false,true,false,false,53,6,118,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",2
PTM,Mouse,false,true,false,false,8,3,9,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",3
Pathways,Mouse,false,true,false,false,62,5,115,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",4
Combo,Mouse,false,true,false,false,168,7,433,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",5
Pathways,Mouse,false,false,false,true,80,5,167,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",6
Combo,Mouse,false,false,false,true,109,6,259,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",7
PPI,Mouse,false,false,false,false,53,6,118,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",8
PTM,Mouse,false,false,false,false,8,3,9,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",9
Pathways,Mouse,false,false,false,false,85,5,176,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",10
Combo,Mouse,false,false,false,false,194,7,549,"Agps;Coro7;Epdr1;Fth1;Ftl1;Mocs3;Rap2b;Serpina1a;Sh3bp1;Slc14a1;Tgm2;Upp1",11
